page,username,score,batch,mode
infosystest7,"
                    arjunscubicle
                ","
                25.00
            ",product,test
infosystest7,"
                    srk240998
                ","
                25.00
            ",product,test
infosystest7,"
                    JeevaSasikumar
                ","
                25.00
            ",product,test
infosystest7,"
                    abilashc66
                ","
                25.00
            ",product,test
infosystest7,"
                    gmguru
                ","
                25.00
            ",product,test
infosystest7,"
                    mohammedharis_k1
                ","
                25.00
            ",product,test
infosystest7,"
                    aravbobs_p
                ","
                25.00
            ",product,test
infosystest7,"
                    kannimuthu85
                ","
                25.00
            ",product,test
infosystest7,"
                    NaveenKumar35
                ","
                25.00
            ",product,test
infosystest7,"
                    kaviya_3111999
                ","
                25.00
            ",product,test
infosystest7,"
                    naryne027
                ","
                25.00
            ",product,test
infosystest7,"
                    Lakshmi1098
                ","
                15.00
            ",product,test
infosystest7,"
                    kvellaidurai12
                ","
                15.00
            ",product,test
infosystest7,"
                    yuvapriya999
                ","
                15.00
            ",product,test
infosystest7,"
                    poojakesavan56
                ","
                15.00
            ",product,test
infosystest7,"
                    DhineshPV
                ","
                15.00
            ",product,test
infosystest7,"
                    mgvsrbaby2000
                ","
                15.00
            ",product,test
infosystest7,"
                    yuthra11021999
                ","
                15.00
            ",product,test
infosystest7,"
                    aishwaryaad05
                ","
                15.00
            ",product,test
infosystest7,"
                    vinothini1499
                ","
                15.00
            ",product,test
infosystest7,"
                    lavs291198
                ","
                12.50
            ",product,test
infosystest7,"
                    mswathikalai72
                ","
                12.50
            ",product,test
infosystest7,"
                    dharshinirajase1
                ","
                12.50
            ",product,test
infosystest7,"
                    dhasaprakash21
                ","
                10.00
            ",product,test
infosystest7,"
                    abarnaabarna1999
                ","
                10.00
            ",product,test
infosystest7,"
                    sharonjohn2398
                ","
                10.00
            ",product,test
infosystest7,"
                    srilakshmiompra1
                ","
                10.00
            ",product,test
infosystest7,"
                    destructiveroc98
                ","
                10.00
            ",product,test
